steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length
76561199211453132,21,2,3796,0,3796,2023-03-03 17:02:06,137531028,schinese,zz游戏   一个人玩就是被暴打ex;,2023-04-30 13:23:46,2023-04-30 13:23:46,False,2,0,0.504504501819610596,0,True,False,False,True,,19
76561199351446154,3,1,2883,1309,2663,2023-05-01 00:49:40,137530378,schinese,haibucuo,2023-04-30 13:07:28,2023-04-30 13:07:28,True,0,0,0,0,True,False,False,True,,8
76561198808427824,18,1,9823,777,9823,2023-04-30 12:56:46,137530134,schinese,傻逼游戏,2023-04-30 12:59:56,2023-04-30 12:59:56,False,2,0,0.504504501819610596,0,True,False,False,True,,4
76561199486997388,12,3,871,2,871,2023-04-30 10:44:58,137528508,schinese,别改，你吗的,2023-04-30 12:13:18,2023-04-30 12:13:18,False,2,0,0.504504501819610596,0,True,False,False,True,,6
76561199329742839,8,2,347,347,164,2023-05-01 00:26:59,137527755,schinese,乐）,2023-04-30 11:52:17,2023-04-30 11:52:17,True,0,0,0,0,True,False,False,True,,2
76561199379877830,13,1,3919,108,3919,2023-04-29 21:48:45,137526795,schinese,新版本屠夫体验来说开门战俩趴不挂稳四死，五台机挂不死一个纯属自己菜了,2023-04-30 11:29:41,2023-04-30 11:29:41,True,0,0,0.480680793523788452,0,True,False,False,True,,34
76561199357802184,19,1,51,51,51,2023-04-24 20:12:27,137525558,schinese,陪朋友玩的 她很爱玩 我不一样 我喜欢她,2023-04-30 10:57:05,2023-04-30 10:57:05,True,1,0,0.523809552192687988,0,True,False,False,True,,20
76561199055397834,47,3,3946,314,3632,2023-04-30 18:42:46,137524784,schinese,在之前挺好玩的，但是改了技能以后就成了一坨答辩了，那钢筋直接废了,2023-04-30 10:40:36,2023-04-30 10:40:36,False,1,0,0,0,False,False,False,True,,32
76561199039612872,8,2,9313,0,9313,2023-03-22 21:44:38,137524489,schinese,把游戏的乐趣削没了，两边都得罪，没动力了,2023-04-30 10:34:48,2023-04-30 10:34:48,False,0,0,0,0,True,False,False,True,,20
76561198151211043,15,1,53708,1122,53575,2023-04-30 12:43:01,137524278,schinese,改版一坨大便，选技能就是大便池里游泳。,2023-04-30 10:30:14,2023-04-30 10:30:14,False,0,0,0,0,True,False,False,True,,19
76561198414920382,35,1,32394,716,32394,2023-04-30 04:00:49,137507862,schinese,byd杀软制作组能不能自己去玩玩游戏 都改的什么姬芭玩意儿 钢筋废了人手一个大跑哥们儿玩个欧尼遇到人就是马捏嘛第一刀拿到开了2台机 真不想去守尸还有玩那b猪头瓦解小叮当 天天搁那削削削削毁灭削心惊削爆发削盐水削天灾真想一棒子给你嘛嘛的头削下来 就这样吧 b游戏不想玩了,2023-04-30 04:16:20,2023-04-30 04:16:20,False,2,0,0.509366631507873535,0,True,False,False,True,,134
76561198817755993,23,4,1834,326,1834,2023-04-30 02:28:32,137502415,schinese,这次改完后游戏从此进入公式化，屠夫死守，人类死修没有任何游戏性，已经不能称之为游戏，完全就是上班一样，每一句都是同样的流程，没有任何游戏性。与开发商早期宣传的博弈没有任何关联。,2023-04-30 02:39:00,2023-04-30 02:39:00,False,1,0,0.500034749507904053,0,True,False,False,True,,88
76561198101802336,31,1,68270,35,68270,2023-04-28 17:40:30,137500381,schinese,自摸模拟器，玩你妈隔壁,2023-04-30 02:03:27,2023-04-30 02:03:27,False,1,0,0.504950463771820068,0,True,False,False,True,,11
76561198881373579,75,4,30255,1253,30248,2023-04-30 23:13:44,137495023,schinese,nmsl,我钢筋废了啊啊啊啊啊，回来吧钢筋铁骨TvT,2023-04-30 01:01:42,2023-04-30 01:01:42,False,1,0,0.504950463771820068,0,True,False,False,True,,26
76561199240275948,2,1,34288,942,33661,2023-04-30 22:50:39,137494064,schinese,差评，没刚筋,2023-04-30 00:48:23,2023-04-30 00:48:23,False,1,0,0.504950463771820068,0,True,False,False,True,,6
76561199151024341,34,9,2380,1120,1702,2023-04-30 21:40:10,137487241,schinese,  爽就对了,2023-04-29 22:53:42,2023-04-29 22:53:42,True,0,0,0,0,True,False,False,True,,6
76561199496177112,1,1,340,340,221,2023-04-30 21:37:54,137484647,schinese,还行吧,2023-04-29 22:06:51,2023-04-29 22:06:51,True,0,0,0,0,True,False,False,True,,3
76561199097091772,27,3,16586,357,16298,2023-04-30 18:46:49,137484546,schinese,乱jb改 改nm,2023-04-29 22:05:10,2023-04-29 22:05:10,False,2,0,0.516351878643035889,0,False,False,False,True,,8
76561199035894671,4,2,4397,488,4217,2023-04-30 20:05:02,137484145,schinese,wcnm,回调钢筋,2023-04-29 21:56:53,2023-04-29 21:56:53,False,2,0,0.528301835060119629,0,True,False,False,True,,9
76561199179017083,62,3,8457,52,8457,2023-04-29 21:45:09,137483606,schinese,操你妈zzz你妈死了,2023-04-29 21:46:47,2023-04-29 21:46:47,False,1,0,0.504950463771820068,0,False,False,False,True,,10
76561198405492352,14,1,60377,1959,60377,2023-04-29 18:52:04,137481907,schinese,游戏版本垃圾中的垃圾，简直可以说是傻中之逼，希望策划的亲妈也能和当前版本一样畸形,2023-04-29 21:15:17,2023-04-29 21:15:17,False,1,0,0.523809552192687988,0,True,False,False,True,,40
76561198978952386,86,2,18295,50,18279,2023-04-29 21:05:49,137480609,schinese,一坨大便;,2023-04-29 20:51:01,2023-04-29 20:51:01,False,0,0,0,0,True,False,False,True,,5
76561198284441785,50,3,18505,315,18505,2023-04-23 00:18:07,137480061,schinese,你乱改改的游戏环境差的要死,2023-04-29 20:40:05,2023-04-29 20:40:05,False,1,0,0.52173912525177002,0,True,False,False,True,,13
76561198341033111,36,1,24092,1728,24017,2023-04-29 21:26:46,137478678,schinese,依托答辩,2023-04-29 20:11:03,2023-04-29 20:11:03,False,1,0,0,0,True,False,False,True,,4
76561198343988364,12,1,10565,389,10565,2023-04-29 11:13:17,137478262,schinese,NT制作组自己不去体验自己游戏的改动让人无语，什么技能热门就一刀砍动脉上直接砍废，双边玩家真的不想多碰一点，从没见过哪款游戏是只会削弱热门技能不会去加强或重做其他的技能，其他技能多印度自己心里没一点B数，就NM想着削弱削弱，你在改NM锤子呢不如不改，多半差评来抗议改动也依旧一意孤行，成功变成黎明人格，你游接着蒸蒸日上吧，看七周年的日活数据公布出来下跌的丢不丢人^_^,2023-04-29 20:01:53,2023-04-29 20:01:53,False,0,0,0,0,True,False,False,True,,184
76561199111418065,9,4,582,95,582,2023-04-29 15:26:02,137477638,schinese,游戏朋友原价送我的，自己买了2个DLC。很好玩，就是游戏最近的风气走向不太好,2023-04-29 19:47:53,2023-04-29 19:47:53,True,0,0,0,2,False,True,False,True,,38
76561199099775278,110,2,842,0,842,2022-11-04 22:09:10,137477004,schinese,日你妈的zzz，真他吗的傻逼环境，狗都不玩，去你吗的臭b。卸载了还有40个g玩玩其他好游戏。垃圾中的垃圾，除非改回来,2023-04-29 19:33:14,2023-04-29 19:33:14,False,1,0,0.518072307109832764,0,False,False,False,True,,58
76561198312252102,29,1,383939,5113,383738,2023-04-30 19:13:35,137475938,tchinese,匿名外掛多的快書就不演笑死,2023-04-29 19:08:46,2023-04-29 22:24:47,False,0,0,0,0,True,False,False,True,,13
76561199234132468,26,1,1672,67,1605,2023-05-01 00:33:39,137474765,schinese,可以,2023-04-29 18:41:06,2023-04-29 18:41:06,True,0,0,0,0,False,False,False,True,,2
76561199490989292,1,1,4281,3320,3276,2023-05-01 00:41:26,137473967,schinese,辣鸡版本;什么时候改回来什么时候改成好评,2023-04-29 18:23:17,2023-04-29 18:23:17,False,4,0,0.542143583297729492,0,True,False,False,True,,20
