word,count
哪里,1
能干,1
好方,1
很喜欢,3
一时,1
爽，,1
精疲力尽经营,1
火葬场,1
担心,3
gg,1
于是,2
机会,1
分身,1
乏术,1
一气之下,1
几个月,1
打开,11
无从,1
下手,1
狂热,2
慎重,3
orz,2
宠爱,1
笑死,2
自已,1
30个小时,1
打完,5
铸飞大胜。,1
后来,4
逐渐,3
再开,2
一盘,1
dlc,12
搞花活,1
堂堂密教大,1
单片,1
眼镜,1
jpg,2
康妮,3
之前,3
盗版,4
正儿八经写评价）,1
看起来,1
目标,1
——“飞升”,1
对应,5
重重,2
历史,3
。密教,1
巧妙,3
书写,2
优美,1
沉浸,3
“密教”,1
steamthumbsup,1
能不能,2
存档位,1
烦人,1
全部,3
木大，,1
rougelike,1
周期,1
小时,8
合理,1
从不,2
确凿,1
四趟,1
骑士,1
小屋,1
人情,2
疯狂,5
拼命,1
苏姐,1
对话,1
五六次,1
人情，,1
这一次,1
拿下,1
前功尽弃,1
相当上,1
头，,1
入门,4
由于,1
显得,2
另外,4
控制台,3
会导致,1
拼搏,1
锐减,1
除非,1
精通,3
速通,1
恋爱模拟器,1
严重,1
浪费,2
Ctrl+,1
负责,1
无效,1
DLL,1
模组,1
真的牛,1
工人,1
教派,2
美丽,2
迷人,2
以及其,1
背后,3
浩瀚,1
——,18
一会儿,2
一个小时,1
过去,3
最喜欢,2
食尸鬼DLC,1
多周,1
枯燥无味,2
查询,1
，极难入门,1
而言,5
几条,1
冷门,1
白日铸炉，愿祂,1
热力,1
触碰,1
冬促,1
评价,3
”，,4
优缺点,2
大伙,1
差不多,3
新（,1
网上,3
B站，,1
贴吧,3
）查,1
说明,3
极少,1
。谨记,1
司辰之书,1
时之书,1
有所,2
改变,2
进去,5
大，,1
查阅,1
wiki游玩，,1
大多数,2
阶段,2
大量,7
无意义,2
暴毙,3
强大,1
中文化,1
团队,2
上升,1
高度,3
味，,1
魔怔,1
不明白,5
尼玛手痛，,1
臭粪,1
程序员,1
回去,1
学学,1
献祭,4
这东西,1
无光,3
德行,1
不行,7
诠释,1
】。,1
一切,10
在语焉不详、,1
诗意,2
猝不及,1
毫无,1
逻辑,3
收场,1
结束,2
关系,2
无光之海,4
还好,2
烂，烂，,1
！）,2
附上,1
你们,4
一本,1
哈扎尔辞典,1
装逼,1
何必,2
惊艳,2
诚意,1
汉化,5
也称得上,1
，光,1
价值,1
隐蔽,1
许多,6
一遍,6
，单,1
沉浸感，,1
考验,1
错过,6
感兴趣,4
慎入,1
欣赏,1
考究,1
典雅,1
认为,2
成本,3
较高,1
上来,2
面对,4
用处,2
意思,1
清楚,3
推进,3
绝望,12
无助,1
迅速,2
解决,2
想要,3
wiki，,1
篇篇,1
，像,2
繁琐,6
，，，，,1
过头,1
万万,1
没想到,1
克系,6
卑微,1
牛马社畜。,1
幸好,1
刀子,1
疯子,1
婊子,1
对付,1
上司,2
方法,2
苦，苦海无度,1
一次杯,1
飞，,1
告诉我,1
小飞升？！,1
身份,1
捣乱,1
近在咫尺,1
质料,1
渗入,1
为其,1
看到,5
守夜人,4
光芒,1
在远方,1
一片,2
蓝色,1
闪耀,1
潜在,1
海面,1
太阳。,1
称得上,1
坐牢，,1
高。,2
消，,1
死。,1
（除,1
流亡者,8
整体,2
基本上,2
一致,1
：堆三维，找教徒，买书,1
读书,1
，探险。,1
其次,1
随机性部分，,1
做不到,1
百分之百,1
一方面,2
考虑到,1
极端,3
很多次,1
连续,2
3、,1
4次,1
越多,3
3道,1
数值,1
堆满,1
成功率,1
25%%,1
概率,3
可能会,3
关卡,1
惩罚,1
金币,2
都会,1
受伤,1
赶紧,1
探险,3
白白,1
吃掉,1
三维,2
随机性,2
留下,1
惊喜,1
血压,3
碎碎,1
念：,1
，重复性劳动。密传,1
升级,6
一大堆,3
无用,1
30s,2
通悟,1
拉长,1
又要,1
缩短,1
在一起,1
），BGM,1
美术,1
玩死,1
二三十小时,1
时期,2
心理准备,1
不明白，,1
偏偏,2
排列,1
组合,4
，规则,1
繁杂,2
碎片,1
水。,1
不能说,1
赵四）,1
追寻,1
暴躁,1
两眼,1
一抹,1
黑，,1
神神叨叨,1
相通,1
赵四（,1
名讳,3
外人,1
直呼,1
发癫,1
美好,2
未来,2
嘎嘎,1
写好,1
几本,1
，游,1
模式,2
新颖,2
维基，,1
卡，,3
！：,1
L，,1
还没有,1
难受,2
上去,2
100%%,1
