steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated
76561198448728861,19,1,478,478,448,2023-05-02 21:36:24,137675468,schinese,真好玩,2023-05-02 21:04:48,2023-05-02 21:04:48,True,0,0,0,0,True,False,False,True,,3,False
76561198955810129,51,1,273,273,240,2023-05-02 21:34:05,137675376,schinese,111,2023-05-02 21:02:54,2023-05-02 21:02:54,True,0,0,0,0,True,False,False,True,,3,False
76561198314815542,84,9,6787,2507,6647,2023-05-02 23:55:16,137675166,schinese,请奖励这条评论，我还差2000点去买那些骚逼头像和背景，给我点赞牛子精灵会让你增长1cm，奖励我的人牛子增长10cm.,2023-05-02 20:58:18,2023-05-02 20:58:18,True,0,0,0.454545468091964722,0,True,False,False,True,,59,False
76561199312263739,9,2,31,31,31,2023-05-02 10:10:40,137675007,schinese,好玩,2023-05-02 20:54:15,2023-05-02 20:54:15,True,0,0,0,0,True,False,False,True,,2,False
76561198799504681,10,1,1782,7,1782,2023-05-02 20:36:57,137674920,schinese,嘿嘿好玩;,2023-05-02 20:52:15,2023-05-02 20:52:15,True,0,0,0,0,True,False,False,True,,5,False
76561198871200228,7,3,1665,12,1653,2023-05-02 21:12:24,137674867,schinese,顾名思义，联机版，一个人肯定不好玩吗，一起白给多有意思,2023-05-02 20:50:42,2023-05-02 20:50:42,True,0,0,0,0,True,False,False,True,,27,False
76561199202143031,18,3,230,230,220,2023-05-02 23:44:29,137674850,schinese,嘎嘎去世,2023-05-02 20:50:16,2023-05-02 20:50:16,True,0,0,0,0,True,False,False,True,,4,False
76561199137719714,33,27,183,183,183,2023-05-01 23:35:16,137674743,schinese,好玩,2023-05-02 20:47:23,2023-05-02 20:47:23,True,0,0,0,0,False,False,False,True,,2,False
76561198815486767,4,1,1660,1660,1497,2023-05-02 23:29:43,137674702,schinese,极其适合大学生宿舍生产！,2023-05-02 20:46:41,2023-05-02 20:46:41,True,0,0,0,0,True,False,False,True,,12,False
76561199195661051,26,3,194,194,194,2023-05-02 13:58:28,137674671,schinese,陪朋友玩的 他很喜欢 而我不一样 我喜欢他;,2023-05-02 20:45:54,2023-05-02 20:45:54,True,0,0,0,0,True,False,False,True,,22,False
76561199265522355,3,3,221,221,221,2023-05-02 20:30:28,137674082,schinese,nb,2023-05-02 20:30:51,2023-05-02 20:30:51,True,0,0,0,0,False,False,False,True,,2,False
76561198980895315,9,1,1728,1728,1686,2023-05-02 21:07:25,137673884,schinese,相当好玩;,2023-05-02 20:25:58,2023-05-02 20:25:58,True,0,0,0,0,False,False,False,True,,5,False
76561198453420778,26,1,6274,2424,6031,2023-05-03 00:27:44,137673811,schinese,一玩就是一天，玩了饥，不玩荒,2023-05-02 20:24:15,2023-05-02 20:24:15,True,0,0,0,0,True,False,False,True,,14,False
76561199468971950,3,1,6,6,6,2023-05-02 17:26:24,137673724,schinese,玩就对了,2023-05-02 20:21:36,2023-05-02 20:21:36,True,0,0,0,0,True,False,False,True,,4,False
76561199162404268,15,5,418,53,418,2023-05-02 18:39:07,137673718,schinese,不是哥们儿这也能背刺？,2023-05-02 20:21:27,2023-05-02 20:21:27,True,0,0,0,0,False,False,False,True,,11,False
76561199487511659,3,1,4128,2049,3838,2023-05-03 01:06:21,137673579,schinese,斯国一，非常的好玩,2023-05-02 20:17:56,2023-05-02 20:17:56,True,0,0,0,0,True,False,False,True,,9,False
76561199471040554,11,1,724,724,604,2023-05-02 22:36:17,137673537,schinese,6,2023-05-02 20:16:55,2023-05-02 20:16:55,True,0,0,0,0,True,False,False,True,,1,False
76561198317930451,66,2,21978,923,21774,2023-05-02 23:40:48,137673509,schinese,联机玩成单机，现在我是哭唧唧,2023-05-02 20:16:08,2023-05-02 20:16:08,True,0,1,0,0,True,False,False,True,,14,False
76561198421727511,33,1,305,57,285,2023-05-02 20:34:13,137672937,schinese,好用,2023-05-02 20:00:05,2023-05-02 20:00:05,True,0,0,0,0,True,False,False,True,,2,False
76561199277128250,12,2,272,0,272,2023-02-19 11:25:10,137672755,schinese,完了，难受坏了，才玩了4个小时退不了了，今天看到4.8买两个人的，被背刺了,2023-05-02 19:54:34,2023-05-02 19:54:34,True,0,0,0,0,False,False,False,True,,37,False
76561199244784650,15,2,12240,866,12075,2023-05-02 22:39:55,137672740,schinese,Good game!,2023-05-02 19:53:36,2023-05-02 19:53:36,True,0,0,0,0,True,False,False,True,,10,False
76561199217128015,3,2,2944,276,2944,2023-04-30 19:21:27,137672707,schinese,好玩,2023-05-02 19:53:02,2023-05-02 19:53:02,True,0,0,0,0,True,False,False,True,,2,False
76561198972563983,9,4,1339,1339,1199,2023-05-02 22:42:35,137672704,schinese,好玩到跟本停不下来！?;?????????????? ???????????????;??????????????????????????????;??????????????????????????????;??????????????????????????????;??????????????????????????????;??????????????????????????????;??????????????????????????????;??????????????????????????????;??????????????????????????????;??????????????????????????????;??????????????????????????????;??????????????????????????????;?????????????,2023-05-02 19:52:59,2023-05-02 19:52:59,True,0,1,0,0,False,False,False,True,,397,False
76561199134315976,51,29,551,0,551,2022-12-20 20:04:10,137672653,schinese,陪朋友玩的 他很喜欢 而我不一样 我喜欢他,2023-05-02 19:51:34,2023-05-02 19:51:34,True,0,0,0.472972989082336426,0,True,False,False,True,,21,False
