steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561199235846428,4,1,2125,1671,1672,2023-05-02 16:09:18,137542389,schinese,打得我又难受又生气，心态炸裂,2023-04-30 18:21:53,2023-04-30 18:21:53,True,0,0,0,0,True,False,False,True,,14,False,,
76561198301744248,65,2,8038,0,8038,2022-09-17 17:27:26,137482806,tchinese,精神時光屋bj4;第一個全成就的遊戲，坐等DLC,2023-04-29 21:32:17,2023-04-29 21:32:17,True,0,0,0,0,True,False,False,True,,24,False,,
76561199079406121,7,2,1496,1295,1031,2023-05-02 16:56:03,137475351,schinese,非常非常好玩，梦世界的npc个性鲜明，成就设置的也很有意思，有时出现的恐怖和诡异的氛围我也很喜欢，目前最爱的jrpg游戏。,2023-04-29 18:54:44,2023-04-29 18:54:44,True,0,0,0,0,True,False,False,True,,61,False,,
76561199111312401,35,31,1433,724,884,2023-05-02 15:46:32,137475285,schinese,.,2023-04-29 18:53:10,2023-04-29 18:53:10,True,0,0,0,0,True,False,False,True,,1,False,,
76561198991591978,64,3,3407,127,3279,2023-04-28 20:16:32,137366691,schinese,神作！不玩后悔一辈子;,2023-04-27 20:14:37,2023-04-27 20:14:37,True,0,0,0,0,True,False,False,True,,11,False,,
76561198984022935,16,2,151,151,151,2023-04-23 13:20:31,137288834,tchinese,讚,2023-04-26 02:34:56,2023-04-26 02:34:56,True,0,0,0,0,True,False,False,True,,1,False,,
76561198892499069,168,19,1602,0,1602,2023-04-16 02:44:23,137282664,schinese,花钱买了永恒的创伤,2023-04-26 00:19:49,2023-04-26 00:19:49,True,1,0,0.523809552192687988,0,True,False,False,True,,9,False,,
76561198111223727,84,18,2639,1978,2639,2023-04-25 12:34:37,137260501,schinese,一天玩了20小时程度的游戏,2023-04-25 13:31:10,2023-04-25 13:31:10,True,1,0,0.523809552192687988,0,True,False,False,True,,13,False,,
76561199038583949,13,2,3044,606,3044,2023-04-24 21:57:43,137227045,schinese,非常好的游戏,2023-04-24 22:01:31,2023-04-24 22:01:31,True,0,0,0,0,True,False,False,True,,6,False,,
76561198800778208,32,13,1678,1019,965,2023-05-03 09:52:13,137225827,schinese,Masterpiece,2023-04-24 21:34:53,2023-04-24 21:36:07,True,0,0,0,0,True,False,False,True,,11,True,,
76561198987894403,91,28,99,0,99,2022-07-12 19:38:48,137222397,schinese,实在是不敢想象自闭线 一直不敢打 也不想打ToT估计能对我造成心理阴影了,2023-04-24 20:04:26,2023-04-24 20:04:26,True,0,0,0,0,True,False,False,True,,36,False,,
76561198897170366,16,1,1243,1126,916,2023-04-25 16:23:36,137188999,schinese,正期待某件事的发生吗？;,2023-04-24 02:33:59,2023-04-24 02:33:59,True,0,0,0,0,True,False,False,True,,12,False,,
76561198151988430,50,5,4277,0,4277,2022-11-17 14:37:59,137174500,schinese,玩进去之后后劲真大。梦世界越有趣现实就越残酷，于是就可以代入sunny理解为了逃避现实而将自己彻底封闭在一个仅有自己和好友的梦境之中扮演朋友游戏，却因为种种原因陷入更深的绝望的心理。游戏对于这种绝望深入浅出的描绘实在是太到位了，无论是通过与梦世界的美好做对比，还是感受梦世界逐渐崩坏的不可挽回的绝望，还是黑色空间里各种压抑沉闷的扭曲景象，都能让人深刻理解sunny内心omori的一面。而这份绝望越是深刻，结尾无论是选择自尽还是选择公开，其过程都会让人陷入更大的情绪起伏之中，以至于过了很久之后听到一些ost还会陷入到那种情绪之中不能自拔。,2023-04-23 22:09:58,2023-04-23 22:09:58,True,1,0,0,0,True,False,False,True,,270,False,,
76561199403262309,8,1,704,15,697,2023-04-28 21:11:14,137154992,schinese,真的非常非常非常好玩，可是，我换了个电脑 我的存档怎么，，，，，没了啊啊啊啊啊啊啊啊啊5555555555555555555,2023-04-23 14:10:51,2023-04-23 14:10:51,True,0,0,0,0,True,False,False,True,,62,False,,
76561198206436563,85,34,1269,1269,1269,2023-04-23 11:25:49,137151327,schinese,一个纸巾盒，用来拭去你的悲伤。,2023-04-23 12:12:58,2023-04-23 12:12:58,True,0,0,0,0,True,False,False,True,,15,False,,
76561199028431213,48,8,566,1,565,2023-04-28 01:38:48,137123100,schinese,白鹭兰，它的花语是“愿我的思念能伴随你进入梦乡”。,2023-04-23 01:08:54,2023-04-23 01:08:54,True,0,0,0,0,True,False,False,True,,25,False,,
76561199013800216,52,8,117,117,117,2023-04-21 15:21:34,137117703,schinese,[h1]我的思念将随你进入梦乡....[/h1],2023-04-22 23:31:07,2023-04-22 23:31:07,True,0,0,0,0,True,False,False,True,,24,False,,
